Metapop	Stand	Plot	Tree	Year	NewCones	Mast	ConesRemain	ConePred	PredProp	PropDeadLP	Middenha1yr	BATotal	BALiveLp	CVStand		
PH	Charolais	1	701	2008	4	0	0	4	1	0.35	0.29	7	5.00			
PH	Charolais	1	702	2008	2	0	0	2	1	0.35	0.29	7	5.00			
PH	Charolais	1	703	2008	0	0	0	0	NA	0.35	0.29	7	5.00			
PH	Charolais	1	704	2008	0	0	0	0	NA	0.35	0.29	7	5.00			
PH	Charolais	1	705	2008	5	0	1	4	0.8	0.35	0.29	7	5.00			
PH	Charolais	1	706	2008	0	0	0	0	NA	0.35	0.29	7	5.00			_
PH	Charolais	1	707	2008	14	0	0	14	1	0.35	0.29	7	5.00			
PH	Charolais	1	708	2008	7	0	0	7	1	0.35	0.29	7	5.00			
PH	Charolais	1	709	2008	7	0	0	7	1	0.35	0.29	7	5.00			
PH	Charolais	1	710	2008	3	0	0	3	1	0.35	0.29	7	5.00			
PH	Charolais	2	711	2008	4	0	1	3	0.75	0.35	0.29	6.333333333	4.33			
PH	Charolais	2	712	2008	30	0	0	30	1	0.35	0.29	6.333333333	4.33			
PH	Charolais	2	713	2008	5	0	0	5	1	0.35	0.29	6.333333333	4.33			
PH	Charolais	2	714	2008	0	0	0	0	NA	0.35	0.29	6.333333333	4.33			
PH	Charolais	2	715	2008	0	0	0	0	NA	0.35	0.29	6.333333333	4.33			
PH	Charolais	2	716	2008	0	0	0	0	NA	0.35	0.29	6.333333333	4.33			
PH	Charolais	2	717	2008	1	0	0	1	1	0.35	0.29	6.333333333	4.33			
PH	Charolais	2	718	2008	7	0	0	7	1	0.35	0.29	6.333333333	4.33			
PH	Charolais	2	719	2008	3	0	0	3	1	0.35	0.29	6.333333333	4.33			
PH	Charolais	2	720	2008	0	0	0	0	NA	0.35	0.29	6.333333333	4.33			
PH	Charolais	3	721	2008	2	0	1	1	0.5	0.35	0.29	1.666666667	1			
PH	Charolais	3	722	2008	0	0	0	0	NA	0.35	0.29	1.666666667	1			
PH	Charolais	3	723	2008	0	0	0	0	NA	0.35	0.29	1.666666667	1			
PH	Charolais	3	724	2008	0	0	0	0	NA	0.35	0.29	1.666666667	1			
PH	Charolais	3	725	2008	0	0	0	0	NA	0.35	0.29	1.666666667	1			
PH	Charolais	3	726	2008	8	0	0	8	1	0.35	0.29	1.666666667	1			
PH	Charolais	3	727	2008	3	0	0	3	1	0.35	0.29	1.666666667	1			
PH	Charolais	3	728	2008	0	0	0	0	NA	0.35	0.29	1.666666667	1			
PH	Charolais	3	729	2008	2	0	0	2	1	0.35	0.29	1.666666667	1			
PH	Charolais	3	730	2008	0	0	0	0	NA	0.35	0.29	1.666666667	1			
PH	Charolais	4	731	2008	0	0	0	0	NA	0.35	0.29	3.666666667	1			
PH	Charolais	4	732	2008	2	0	2	0	0	0.35	0.29	3.666666667	1			
PH	Charolais	4	733	2008	3	0	0	3	1	0.35	0.29	3.666666667	1			
